0,0,1,23,4415,3,7309
1,1,0,23,4415,3,1697
2,2,2562,3101,3659,5486,10838
3,3,4415,1,0,23,1697
4,4,6589,6587,6,4697,5636
5,5,4088,8302,7338,8074,5016
6,6,6590,6589,1848,9133,6593
7,7,6507,11,919,6501,10725
8,8,2170,1201,2976,3020,4245
9,9,6934,5610,7190,10197,2017
10,10,327,3486,10056,4466,3771
11,11,6507,919,6501,10725,7
12,12,914,10527,10318,1160,1663
13,13,1919,9794,2700,5315,7916
14,14,10820,8357,10661,5526,5220
15,15,5127,3075,8731,6466,10681
16,16,7858,3218,7092,1743,4935
17,17,6360,8672,8676,10434,1545
18,18,8161,71,9636,8423,4527
19,19,7111,2141,1248,7772,3553
20,20,4769,10611,1142,270,157
21,21,4244,6588,6691,72,4968
22,22,188,627,3752,1695,420
23,23,1,4415,0,3,7309
24,24,724,2650,7187,2454,3107
25,25,291,1575,10055,165,7512
26,26,8447,5120,2042,420,10378
27,27,4445,1106,598,3294,9769
28,28,4127,235,889,9743,331
29,107,29,9902,3689,2408,10768
30,30,10305,9834,6619,7820,9225
31,31,6354,2567,2250,2249,5535
32,32,9588,9580,4303,9336,8199
33,33,8490,5621,5154,8127,10773
34,34,633,8866,159,5704,1092
35,35,7838,2165,2661,1935,5739
36,36,3174,1088,6104,3818,6791
37,37,10576,1869,534,9032,2538
38,38,10403,1383,9097,5051,3289
39,39,297,6157,3626,3639,4886
40,40,143,9145,1715,10464,8417
41,41,5692,9569,7769,263,3199
42,42,3061,5548,8412,5947,2186
43,43,3813,10334,4074,6425,11080
44,44,5121,2763,9105,3723,8422
45,45,4200,9021,7479,8060,9745
46,46,281,1978,3451,2910,2730
47,47,5971,9792,7571,10555,7609
48,48,1780,9252,7780,8449,2269
49,49,7190,5610,9,6934,10197
50,50,5929,8620,10933,359,3084
51,51,997,6883,8849,10597,4558
52,52,3913,1287,3539,3045,2530
53,53,10397,10001,7694,9833,7064
54,54,1809,65,3844,6097,1764
55,55,10493,536,861,8156,6556
56,56,2500,11064,3090,9197,7169
57,57,6679,4185,10409,1706,3725
58,58,8268,2025,3189,8293,5762
59,59,1627,4147,7983,1464,4898
60,60,8783,10240,3293,2735,7244
61,61,6262,7613,8323,3725,10409
62,62,769,5289,9778,637,10777
63,63,3908,10429,744,1139,8671
64,64,7935,2856,1840,384,4994
65,65,1809,54,3844,6097,1764
66,66,9664,1394,1823,7092,9219
67,67,8697,1482,2007,1547,8547
68,68,848,10955,7779,10962,7424
69,69,8612,6824,8732,8111,10982
70,70,5503,8373,1845,9113,6098
71,71,18,8161,9636,8423,4527
72,72,4968,6977,6230,10918,2528
73,73,9375,10487,7631,5171,7863
74,74,9532,7862,2188,415,392
75,75,5817,7973,2054,10845,3328
76,76,9731,9936,9811,1498,4315
77,77,2140,7239,4053,7069,2160
78,78,9369,88,3284,2728,9412
79,79,739,4596,5783,2516,5624
80,10895,80,2437,5640,328,2489
81,81,370,1312,10157,2082,5858
82,82,10222,6782,3579,5841,1927
83,83,10331,5872,2816,5395,203
84,84,6254,2557,8355,11062,4214
85,85,5987,6868,8532,6683,9447
86,86,9180,2323,5604,9311,8692
87,87,8847,7214,549,9357,347
88,88,9369,78,3284,9412,8027
89,89,3434,802,10763,2738,7556
90,90,3888,4534,5726,1369,8911
91,91,905,9585,8406,5296,686
92,92,5682,5747,9036,10450,509
93,93,3799,8084,9379,726,10783
94,94,1962,5069,6264,4552,8150
95,95,5613,9395,1539,8974,11035
96,96,10427,10209,2440,10074,9279
97,97,7322,4806,3693,2547,3650
98,98,314,1077,3796,3223,610
99,99,1299,3426,2179,7804,7021
100,100,4662,5904,4709,9241,10987
101,101,6255,4656,5162,10945,10426
102,102,1624,9264,463,9208,8742
103,103,688,10874,5902,10896,3207
104,558,3371,104,5365,10141,3516
105,4380,105,4216,2046,7113,7730
106,106,2826,10134,6033,9290,4786
107,107,29,9902,3689,2408,10768
108,108,9536,11088,9668,6835,10829
109,109,11086,8515,3163,779,4465
110,110,1454,4212,5235,2324,9517
111,111,10627,10316,3374,785,9147
112,112,5686,8459,5273,2753,5878
113,113,10828,1812,1377,8420,1185
114,114,7271,3419,8216,5105,3920
115,115,8070,4175,539,2435,6389
116,116,7396,9815,5314,8738,10248
117,117,2292,6233,4950,1047,6786
118,118,4457,5166,2580,2930,1920
119,9790,119,923,1339,206,2894
120,120,4758,813,470,5733,480
121,121,3771,7077,4466,5633,4092
122,122,4002,678,8505,6840,4388
123,123,5353,11012,2843,1489,838
124,124,1015,8747,10291,1879,2929
125,125,6857,6139,3528,3317,7498
126,126,5529,2236,3936,8269,4079
127,127,4537,9835,4287,10507,639
128,128,2523,6099,334,2822,8158
129,129,2618,2484,9993,8251,6048
130,130,8407,3263,4358,4901,1182
131,131,9059,9086,7083,6185,1732
132,132,3089,10260,10213,9181,9411
133,133,9926,8327,7066,9944,6921
134,134,1997,1458,9358,2765,5574
135,135,10020,5321,3287,8283,1471
136,136,5452,5342,9420,1620,7344
137,137,8504,6903,771,10380,11014
138,138,1534,1570,6263,2156,4997
139,139,8746,1393,1742,403,7312
140,140,6784,4042,6673,7254,9868
141,141,2431,7774,10026,1343,2737
142,142,677,7126,6825,4799,9740
143,143,40,9145,1715,10464,8417
144,144,6277,10206,5616,4768,9090
145,145,5392,6831,4831,4763,6290
146,146,6342,538,9640,256,8411
147,5550,147,2597,7458,9010,10964
148,148,8968,3952,3798,7437,2558
149,149,5316,5553,10152,7500,8778
150,150,4080,5299,5885,264,7232
151,151,8587,569,7178,7104,1384
152,152,9427,3582,1672,10039,1932
153,153,4942,4714,3146,4882,1434
154,154,6195,2227,2801,4041,5118
155,155,10128,9624,7902,7912,4137
156,156,7856,7852,8675,7850,7867
157,157,9756,1142,8870,4769,3085
158,158,9866,1439,9791,5249,5507
159,159,5704,8866,10712,34,633
160,160,2963,4986,8834,4259,5588
161,161,211,5844,9085,6796,417
162,162,1707,8991,3433,4190,4943
163,163,3655,8428,2717,7868,4564
164,164,11051,1931,3501,7861,5212
165,165,7512,1057,9087,4255,4163
166,166,3173,6721,9641,6037,6659
167,167,4642,7276,8381,7006,2238
168,168,3052,3566,2961,8575,1826
169,169,5156,618,8258,3563,3566
170,170,2797,2796,10211,9673,1657
171,171,3607,8754,939,7941,5791
172,172,4310,6707,192,4591,6541
173,173,9864,2844,9034,2486,2164
174,174,7450,6749,9629,7039,9602
